symbol,company,industry,exchange,trading_volume_and_chartered_capital
A32,CTCP 32,Sản xuất các sản phẩm da và liên quan,UPCoM,6800000
AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,382274496
AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,12346411
AAS,CTCP Chứng khoán SmartInvest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,199999969
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Sản xuất các sản phẩm may mặc,HOSE,70819103
AAV,CTCP AAV Group,Phát triển bất động sản,HNX,68987661
ABB,Ngân hàng TMCP An Bình,Trung gian tín dụng và các hoạt động liên quan,UPCoM,1035036762
ABC,CTCP Truyền thông VMG,Viễn thông,UPCoM,20393000
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm và các hoạt động liên quan,UPCoM,51557417
ABR,CTCP Đầu tư Nhãn hiệu Việt,Viễn thông,HOSE,20000000
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"Sản xuất hóa chất, dược phẩm",HOSE,80000000
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,14387207
ABW,CTCP Chứng khoán An Bình,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,101150000
ACB,Ngân hàng TMCP Á Châu,Trung gian tín dụng và các hoạt động liên quan,HOSE,3884050358
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,104999993
ACE,CTCP Bê tông Ly tâm An Giang,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3050781
ACG,CTCP Gỗ An Cường,Sản xuất các sản phẩm gỗ,HOSE,150787946
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,50159019
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,51000000
ACS,CTCP Xây lắp Thương mại 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4000000
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hỗ trợ vận tải,UPCoM,2177173236
ADC,CTCP Mỹ thuật và Truyền thông,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3977936
ADG,CTCP Clever Group,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,21380521
ADP,CTCP Sơn Á Đông,"Sản xuất hóa chất, dược phẩm",HOSE,23039850
ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,58394727
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,35000000
AG1,CTCP 28.1,Sản xuất các sản phẩm may mặc,UPCoM,4863386
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm,UPCoM,28109743
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển bất động sản,HOSE,125118368
AGM,CTCP Xuất Nhập khẩu An Giang,Sản xuất thực phẩm,HOSE,18200000
AGP,CTCP Dược phẩm Agimexpharm,"Sản xuất hóa chất, dược phẩm",UPCoM,20664453
AGR,CTCP Chứng khoán Agribank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,215391309
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,Sản xuất thực phẩm,UPCoM,10800000
AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm và các hoạt động liên quan,UPCoM,100000000
ALT,CTCP Văn hóa Tân Bình,Sản xuất các sản phẩm nhựa và cao su,HNX,6172523
ALV,CTCP Xây dựng ALVICO,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5657936
AMC,CTCP Khoáng sản Á Châu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,2850000
AMD,CTCP Đầu tư và Khoáng sản FLC Stone,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",UPCoM,163504874
AME,CTCP Alphanam E&C,"Xây dựng nhà cửa, cao ốc",HNX,65200000
AMP,CTCP Armephaco,Bán buôn hàng lâu bền,UPCoM,13000000
AMS,CTCP Cơ khí Xây dựng AMECC,"Sản xuất thiết bị, máy móc",UPCoM,60000000
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Sản xuất khác,HNX,131105650
ANT,CTCP Rau quả Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,14399988
ANV,CTCP Nam Việt,Sản xuất thực phẩm,HOSE,133539625
APC,CTCP Chiếu xạ An Phú,Sản xuất thực phẩm,HOSE,20121395
APF,CTCP Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm,UPCoM,25936748
APG,CTCP Chứng khoán APG,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,153621942
APH,CTCP Tập đoàn An Phát Holdings,Sản xuất các sản phẩm nhựa và cao su,HOSE,243884268
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Phát triển bất động sản,HNX,84083976
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Bán buôn hàng lâu bền,UPCoM,1200000
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Sản xuất xăng dầu và than đá,UPCoM,4724632
